AccountID,TransactionID,AccountType,Asset,Ticker,Quantity,TradeDate,SettlementDate,PricePerShare,Currency,TransactionStatus,Notes,FirstName,LastName
039003,9958d612,CUSTODIAL,JOHNSON & JOHNSON,JNJ,,2024-08-12,2024-08-13,1705.91,CAD,COMPLETED,WATCHLIST,MICHAEL,HAYNES
161388,8b287852,ROTH IRA,JOHNSON & JOHNSON,JNJ,153,2022-10-04,2022-10-05,2951.58,USD,COMPLETED,DIVIDENDS REINVESTED,LESLIE,MONTOYA
,bb29c677,401(K),MICROSOFT CORP,MSFT,982,2025-05-23,2025-05-27,2985.23,USD,COMPLETED,,EDWARD,MEDINA
070077,fe196474,401(K),TESLA INC.,TSLA,509,2024-01-02,,,USD,PENDING,PENDING,TIMOTHY,CHAPMAN
178881,d0f5caa0,JOINT,NETFLIX,NFLX,787,2023-05-08,,1627.51,CAD,PENDING,PENDING,DREW,SALAZAR
635995,f5dbd6c9,TRUST,ALPHABET INC.,GOOGL,808,2025-07-11,2025-07-14,419.69,CAD,COMPLETED,WATCHLIST,STEPHEN,CARTER
624377,8631afda,ROTH IRA,NETFLIX,NFLX,461,2025-06-23,2025-06-24,4454.30,CAD,COMPLETED,AUTO-INVEST,TAMMY,ALLISON
124649,25a9d88b,401(K),"AMAZON.COM, INC.",AMZN,493,2023-10-23,2023-10-24,,CAD,COMPLETED,DIVIDENDS REINVESTED,CASEY,MIDDLETON
414802,8bd9c548,401(K),META PLATFORMS,META,119,2023-04-17,2023-04-18,,EUR,COMPLETED,,WALTER,GUZMAN
918798,5116849e,JOINT,META PLATFORMS,META,,2023-07-03,2023-07-05,1743.01,EUR,COMPLETED,DIVIDENDS REINVESTED,DEBORAH,ATKINSON
251434,d248478a,JOINT,META PLATFORMS,META,50,2025-06-26,2025-06-27,2142.3,CAD,COMPLETED,SHORT-TERM,ROBERT,HODGES
556910,2815524f,ROTH IRA,TESLA INC.,TSLA,294,2024-04-19,2024-04-22,,USD,COMPLETED,SHORT-TERM,JESSICA,ARELLANO
398843,0ffddf0a,TRUST,TESLA INC.,TSLA,886,2023-07-26,2023-07-27,2150.61,EUR,COMPLETED,DIVIDENDS REINVESTED,BRIAN,GARCIA
,b344080f,401(K),META PLATFORMS,META,183,2024-05-21,,3525.80,EUR,PENDING,PENDING,TERRY,NEWTON
325012,4a0dc49d,JOINT,JOHNSON & JOHNSON,JNJ,679,2023-10-12,,3897.1,CAD,PENDING,PENDING,FRANK,GALLOWAY
,43c59167,401(K),NVIDIA CORPORATION,NVDA,617,2025-07-07,2025-07-08,3969.27,CAD,COMPLETED,WATCHLIST,,
275773,4f0c4351,TRUST,MICROSOFT CORP,MSFT,877,2024-07-01,2024-07-02,3228.72,CAD,COMPLETED,DIVIDENDS REINVESTED,AARON,JONES
594008,6ff1ce60,TRUST,NVIDIA CORPORATION,NVDA,759,2024-08-13,2024-08-14,4065.60,USD,COMPLETED,WATCHLIST,BENJAMIN,WILSON
219322,6fc5bf6b,401(K),MICROSOFT CORP,MSFT,132,2024-09-05,2024-09-06,1772.94,CAD,COMPLETED,,ANTHONY,FLYNN
996217,3b23b8dd,401(K),MICROSOFT CORP,MSFT,10,2025-05-07,2025-05-08,697.61,USD,COMPLETED,SHORT-TERM,EDWARD,MEDINA
446677,6faa85d9,BROKERAGE,MICROSOFT CORP,MSFT,,2024-01-18,2024-01-19,988.67,CAD,COMPLETED,WATCHLIST,JENNIFER,CLARKE
228936,6e28bb4b,JOINT,META PLATFORMS,META,424,2025-06-30,2025-07-01,1996.4,USD,COMPLETED,DIVIDENDS REINVESTED,SPENCER,CLARK
541261,9dccfc5d,BROKERAGE,ALPHABET INC.,GOOGL,390,2022-10-24,,1769.20,CAD,PENDING,PENDING,PATRICK,HERNANDEZ
195206,7cc80a15,TRUST,MICROSOFT CORP,MSFT,535,2023-08-18,2023-08-21,238.91,EUR,COMPLETED,,BRENDAN,HALE
325012,77efbe06,JOINT,APPLE INC.,AAPL,476,2023-09-29,2023-10-02,3943.40,CAD,COMPLETED,AUTO-INVEST,FRANK,GALLOWAY
938453,0823abb8,TRUST,"AMAZON.COM, INC.",AMZN,169,2024-10-22,2024-10-23,1442.55,USD,COMPLETED,,CHRISTOPHER,ESPARZA
590661,14129fff,ROTH IRA,"AMAZON.COM, INC.",AMZN,774,2024-10-18,2024-10-21,970.0,EUR,COMPLETED,WATCHLIST,JORGE,LANE
593272,502ec588,BROKERAGE,ALPHABET INC.,GOOGL,23,2025-03-14,2025-03-17,4908.13,EUR,COMPLETED,WATCHLIST,CHRISTINE,HANSON
780633,9c5452d6,ROTH IRA,NETFLIX,NFLX,10,2025-02-05,2025-02-06,63.88,EUR,COMPLETED,DIVIDENDS REINVESTED,SAMUEL,NEWTON
058600,5aa1bf05,BROKERAGE,BERKSHIRE HATHAWAY,BRK.A,81,2023-09-15,,1225.8,CAD,PENDING,PENDING,LEAH,LARSEN
195206,9a5109ab,TRUST,JOHNSON & JOHNSON,JNJ,57,2022-06-22,2022-06-23,4047.42,CAD,COMPLETED,WATCHLIST,BRENDAN,HALE
398843,5bc0b490,TRUST,APPLE INC.,AAPL,335,2023-12-12,2023-12-13,,USD,COMPLETED,AUTO-INVEST,BRIAN,GARCIA
360566,9beef200,ROTH IRA,META PLATFORMS,META,781,2025-04-18,2025-04-21,1848.14,CAD,COMPLETED,,JAMES,FERGUSON
770530,cbb69ead,401(K),BERKSHIRE HATHAWAY,BRK.A,227,2024-03-28,2024-03-29,2748.39,CAD,COMPLETED,SHORT-TERM,TERRY,NEWTON
770530,297fb96a,401(K),BERKSHIRE HATHAWAY,BRK.A,154,2024-05-17,2024-05-20,4202.21,EUR,COMPLETED,WATCHLIST,TERRY,NEWTON
996217,992b1a8f,401(K),NETFLIX,NFLX,10,2025-05-23,2025-05-27,,USD,COMPLETED,WATCHLIST,EDWARD,MEDINA
594008,fe131dec,TRUST,ALPHABET INC.,GOOGL,706,2023-06-14,2023-06-15,2378.9,EUR,COMPLETED,AUTO-INVEST,BENJAMIN,WILSON
630365,c7c150fc,JOINT,"AMAZON.COM, INC.",AMZN,10,2024-10-24,2024-10-25,1271.10,USD,COMPLETED,WATCHLIST,JAMES,POOLE
462783,dc71e400,401(K),"AMAZON.COM, INC.",AMZN,925,2024-11-12,2024-11-13,4371.26,USD,COMPLETED,,,
739449,8d1eaa67,BROKERAGE,MICROSOFT CORP,MSFT,,2025-07-15,2025-07-16,4409.98,USD,COMPLETED,SHORT-TERM,JESSICA,JONES
889753,3b5b5ec3,401(K),NVIDIA CORPORATION,NVDA,664,2023-05-16,2023-05-17,1857.18,CAD,COMPLETED,,,
172394,86fdf31b,401(K),NVIDIA CORPORATION,NVDA,827,2022-11-14,2022-11-15,2693.63,EUR,COMPLETED,AUTO-INVEST,FRANK,MORGAN
439346,91327bc3,ROTH IRA,"AMAZON.COM, INC.",AMZN,554,2023-12-06,2023-12-07,3718.93,USD,COMPLETED,AUTO-INVEST,CHRISTOPHER,LOWERY
786996,b187997c,ROTH IRA,APPLE INC.,AAPL,85,2024-10-09,2024-10-10,3882.21,EUR,COMPLETED,DIVIDENDS REINVESTED,DAVID,BEASLEY
387916,7e3a62a9,TRUST,BERKSHIRE HATHAWAY,BRK.A,81,2022-12-07,,1762.54,EUR,PENDING,PENDING,DONNA,SMITH
060625,bd1098db,BROKERAGE,META PLATFORMS,META,807,2025-07-17,2025-07-18,4803.77,USD,COMPLETED,WATCHLIST,STEPHANIE,PERRY
,a629f4cd,401(K),NETFLIX,NFLX,596,2021-11-16,2021-11-17,3372.83,USD,COMPLETED,WATCHLIST,TIMOTHY,CHAPMAN
145114,f298765c,JOINT,"AMAZON.COM, INC.",AMZN,107,2022-04-08,2022-04-11,2868.18,USD,COMPLETED,,TROY,GUZMAN
669675,c3039f4d,ROTH IRA,TESLA INC.,TSLA,144,2022-05-24,,451.91,CAD,PENDING,PENDING,LAUREN,MIRANDA
499100,3752c21b,ROTH IRA,JOHNSON & JOHNSON,JNJ,220,2025-06-23,2025-06-24,3291.27,USD,COMPLETED,AUTO-INVEST,DEBORAH,MOODY
589209,7ece1b94,401(K),TESLA INC.,TSLA,167,2024-07-05,2024-07-08,,CAD,COMPLETED,SHORT-TERM,PAMELA,JACKSON
889753,8a4b0c71,401(K),JOHNSON & JOHNSON,JNJ,730,2023-09-05,2023-09-06,4088.9,EUR,COMPLETED,AUTO-INVEST,JEFFREY,FORD
613288,f60fb705,JOINT,TESLA INC.,TSLA,374,2025-03-26,2025-03-27,,EUR,COMPLETED,SHORT-TERM,KENNETH,HARTMAN
870729,13093fa8,401(K),APPLE INC.,AAPL,10,2025-04-11,2025-04-14,4751.31,CAD,COMPLETED,WATCHLIST,SABRINA,BOWEN
590661,e17e5109,ROTH IRA,APPLE INC.,AAPL,184,2025-03-25,2025-03-26,2455.40,CAD,COMPLETED,AUTO-INVEST,JORGE,LANE
,a44f6554,JOINT,NVIDIA CORPORATION,NVDA,633,2023-07-05,2023-07-06,1829.19,CAD,COMPLETED,SHORT-TERM,,
903108,0e454e66,JOINT,NETFLIX,NFLX,665,2025-06-10,,428.72,USD,PENDING,PENDING,MACKENZIE,BARRETT
943586,5ce430b5,ROTH IRA,JOHNSON & JOHNSON,JNJ,952,2024-04-24,,,USD,PENDING,PENDING,MELISSA,MARTINEZ
621357,c631f458,CUSTODIAL,ALPHABET INC.,GOOGL,754,2025-06-10,2025-06-11,3508.81,CAD,COMPLETED,AUTO-INVEST,GARY,LYNCH
398843,233a75b7,TRUST,BERKSHIRE HATHAWAY,BRK.A,247,2023-05-04,,4933.6,EUR,PENDING,PENDING,BRIAN,GARCIA
927726,34f4e393,TRUST,MICROSOFT CORP,MSFT,54,2025-03-21,2025-03-24,4283.19,CAD,COMPLETED,WATCHLIST,ROBERT,MORRISON
993380,47f95afc,BROKERAGE,NETFLIX,NFLX,10,2022-08-19,2022-08-22,3812.01,CAD,COMPLETED,DIVIDENDS REINVESTED,SHAWN,DRAKE
039003,bab4f98c,CUSTODIAL,"AMAZON.COM, INC.",AMZN,156,2024-04-02,,868.51,CAD,PENDING,PENDING,,
589209,20b58ed7,401(K),"AMAZON.COM, INC.",AMZN,482,2025-04-21,2025-04-22,3977.00,EUR,COMPLETED,WATCHLIST,PAMELA,JACKSON
613288,676346a9,JOINT,"AMAZON.COM, INC.",AMZN,208,2025-06-03,2025-06-04,,CAD,COMPLETED,AUTO-INVEST,KENNETH,HARTMAN
996217,29a5dacd,401(K),NVIDIA CORPORATION,NVDA,59,2025-06-09,2025-06-10,718.00,EUR,COMPLETED,SHORT-TERM,EDWARD,MEDINA
308781,844ade9f,CUSTODIAL,"AMAZON.COM, INC.",AMZN,374,2024-08-26,2024-08-27,164.0,CAD,COMPLETED,DIVIDENDS REINVESTED,THOMAS,JACKSON
927726,6da85aee,TRUST,"AMAZON.COM, INC.",AMZN,909,2024-09-20,2024-09-23,3419.3,EUR,COMPLETED,DIVIDENDS REINVESTED,ROBERT,MORRISON
626352,68c38cf6,ROTH IRA,APPLE INC.,AAPL,904,2023-08-29,2023-08-30,835.90,USD,COMPLETED,AUTO-INVEST,CARLOS,ALEXANDER
380206,8c096b70,ROTH IRA,ALPHABET INC.,GOOGL,435,2023-02-10,2023-02-13,3033.17,EUR,COMPLETED,WATCHLIST,RACHEL,RICHMOND
740826,17183a28,401(K),ALPHABET INC.,GOOGL,412,2025-07-11,2025-07-14,4194.73,CAD,COMPLETED,DIVIDENDS REINVESTED,RICHARD,MILLER
028008,43117e5a,JOINT,TESLA INC.,TSLA,778,2025-01-14,2025-01-15,4902.74,USD,COMPLETED,WATCHLIST,BRITTANY,SMITH
271427,4aa65be0,ROTH IRA,"AMAZON.COM, INC.",AMZN,837,2024-11-07,2024-11-08,,EUR,COMPLETED,AUTO-INVEST,HEIDI,COX
155174,b949066e,JOINT,JOHNSON & JOHNSON,JNJ,88,2024-10-02,2024-10-03,1751.04,CAD,COMPLETED,,JASMINE,RICHARD
058600,44663c7b,BROKERAGE,NVIDIA CORPORATION,NVDA,205,2025-05-27,2025-05-28,419.63,USD,COMPLETED,AUTO-INVEST,LEAH,LARSEN
145114,e342c9be,JOINT,NETFLIX,NFLX,763,2022-10-24,2022-10-25,4217.9,USD,COMPLETED,,TROY,GUZMAN
590661,731a1132,ROTH IRA,JOHNSON & JOHNSON,JNJ,214,2024-06-07,2024-06-10,1637.61,CAD,COMPLETED,AUTO-INVEST,JORGE,LANE
984712,7f9e6072,ROTH IRA,NVIDIA CORPORATION,NVDA,916,2025-01-06,,1220.84,EUR,PENDING,PENDING,TARA,MCCOY
308781,f59e8b40,CUSTODIAL,BERKSHIRE HATHAWAY,BRK.A,10,2024-07-05,2024-07-08,,CAD,COMPLETED,DIVIDENDS REINVESTED,,
207005,deb78e0a,BROKERAGE,META PLATFORMS,META,192,2022-02-28,,2885.45,CAD,PENDING,PENDING,KENNETH,SCHULTZ
137421,e0c6abc1,401(K),NETFLIX,NFLX,70,2021-08-17,2021-08-18,2088.5,CAD,COMPLETED,AUTO-INVEST,TAMMY,CAMPBELL
439346,ae591b47,ROTH IRA,META PLATFORMS,META,495,2024-12-10,2024-12-11,,CAD,COMPLETED,WATCHLIST,CHRISTOPHER,LOWERY
509680,8b2b8f3f,CUSTODIAL,MICROSOFT CORP,MSFT,279,2025-07-01,2025-07-02,4002.3,CAD,COMPLETED,AUTO-INVEST,SEAN,DANIEL
868939,82ab1d8c,CUSTODIAL,MICROSOFT CORP,MSFT,182,2022-06-30,,1173.43,USD,PENDING,PENDING,CYNTHIA,MILLS
103637,5f98575c,TRUST,NETFLIX,NFLX,835,2023-12-28,2023-12-29,945.01,CAD,COMPLETED,SHORT-TERM,KEVIN,WALLACE
028008,16d8d437,JOINT,ALPHABET INC.,GOOGL,961,2025-07-18,2025-07-18,925.75,USD,COMPLETED,AUTO-INVEST,BRITTANY,SMITH
594008,380040a6,TRUST,NETFLIX,NFLX,10,2023-06-02,2023-06-05,,EUR,COMPLETED,DIVIDENDS REINVESTED,BENJAMIN,WILSON
365934,58e8a5b9,401(K),JOHNSON & JOHNSON,JNJ,29,2025-04-09,2025-04-10,3500.03,USD,COMPLETED,,BRANDON,MILLS
,9028285e,ROTH IRA,JOHNSON & JOHNSON,JNJ,,2025-07-03,2025-07-07,2565.58,USD,COMPLETED,DIVIDENDS REINVESTED,KAYLA,STEWART
794792,5d6f512f,401(K),META PLATFORMS,META,593,2024-11-13,2024-11-14,3852.06,USD,COMPLETED,WATCHLIST,THOMAS,DOUGHERTY
103637,bfcaba08,TRUST,ALPHABET INC.,GOOGL,95,2023-08-29,2023-08-30,981.79,EUR,COMPLETED,,KEVIN,WALLACE
927726,badc75cb,TRUST,NVIDIA CORPORATION,NVDA,10,2024-09-04,2024-09-05,3358.1,CAD,COMPLETED,AUTO-INVEST,ROBERT,MORRISON
870729,d2046df3,401(K),META PLATFORMS,META,174,2024-10-11,2024-10-15,2912.42,EUR,COMPLETED,WATCHLIST,SABRINA,BOWEN
897623,365e3f10,BROKERAGE,"AMAZON.COM, INC.",AMZN,356,2025-06-24,2025-06-25,902.3,USD,COMPLETED,AUTO-INVEST,WENDY,GILMORE
011033,605473e0,BROKERAGE,ALPHABET INC.,GOOGL,705,2023-04-19,2023-04-20,2194.17,EUR,COMPLETED,SHORT-TERM,DANIELLE,PEARSON
897623,21f45880,BROKERAGE,APPLE INC.,AAPL,277,2024-01-10,2024-01-11,4033.51,USD,COMPLETED,AUTO-INVEST,,
923351,2ac84111,401(K),"AMAZON.COM, INC.",AMZN,35,2025-05-07,2025-05-08,4732.32,CAD,COMPLETED,,LEAH,MENDEZ
146919,230c02e7,CUSTODIAL,NVIDIA CORPORATION,NVDA,740,2022-10-26,2022-10-27,3093.04,CAD,COMPLETED,,AMANDA,CARPENTER
995012,b407769c,401(K),APPLE INC.,AAPL,689,2024-11-18,2024-11-19,3939.43,USD,COMPLETED,SHORT-TERM,MICHAEL,COLLINS
746553,d8cba5f7,BROKERAGE,MICROSOFT CORP,MSFT,303,2023-07-31,2023-08-01,,EUR,COMPLETED,,DANA,BRADLEY
137421,94a28d12,401(K),MICROSOFT CORP,MSFT,232,2021-10-22,2021-10-25,1234.59,EUR,COMPLETED,,TAMMY,CAMPBELL
504812,955c115c,ROTH IRA,JOHNSON & JOHNSON,JNJ,170,2023-01-24,,1056.84,CAD,PENDING,PENDING,JENNIFER,KING
026885,e07ce7a3,JOINT,META PLATFORMS,META,153,2024-05-29,2024-05-30,1933.22,USD,COMPLETED,WATCHLIST,BRITTANY,ROBERTS
770530,01957e65,401(K),META PLATFORMS,META,446,2024-08-02,2024-08-05,2333.7,EUR,COMPLETED,SHORT-TERM,TERRY,NEWTON
,c5c1ada9,BROKERAGE,TESLA INC.,TSLA,710,2025-02-07,2025-02-10,4735.11,EUR,COMPLETED,SHORT-TERM,COURTNEY,DEAN
907856,f9f02223,TRUST,ALPHABET INC.,GOOGL,114,2024-12-31,2025-01-02,1084.07,USD,COMPLETED,,JOHN,JOHNSON
045531,ad7afb1f,JOINT,"AMAZON.COM, INC.",AMZN,152,2023-12-22,2023-12-26,4893.8,USD,COMPLETED,SHORT-TERM,KATHRYN,MCCANN
195206,66eaf662,TRUST,JOHNSON & JOHNSON,JNJ,984,2022-01-25,2022-01-26,757.82,CAD,COMPLETED,,BRENDAN,HALE
045531,96b47c9b,JOINT,NVIDIA CORPORATION,NVDA,909,2024-03-06,,1383.42,USD,PENDING,PENDING,KATHRYN,MCCANN
606604,c9a18a0d,ROTH IRA,ALPHABET INC.,GOOGL,,2023-07-17,,3408.26,EUR,PENDING,PENDING,SHARON,RUIZ
819106,af7a1694,CUSTODIAL,TESLA INC.,TSLA,483,2023-06-29,2023-06-30,,CAD,COMPLETED,WATCHLIST,MARTHA,STUART
593464,3028f3be,401(K),NETFLIX,NFLX,53,2022-08-22,,,USD,PENDING,PENDING,ASHLEY,GALLEGOS
093829,0bab202c,ROTH IRA,META PLATFORMS,META,685,2025-01-27,,4945.62,USD,PENDING,PENDING,JOHN,SULLIVAN
794792,ee336a6c,401(K),ALPHABET INC.,GOOGL,851,2024-07-25,2024-07-26,1353.77,EUR,COMPLETED,,THOMAS,DOUGHERTY
685835,d89cfc06,BROKERAGE,META PLATFORMS,META,949,2024-10-03,2024-10-04,1450.70,EUR,COMPLETED,WATCHLIST,BENJAMIN,CARRILLO
594008,e21885e1,TRUST,JOHNSON & JOHNSON,JNJ,689,2024-01-22,2024-01-23,,EUR,COMPLETED,SHORT-TERM,BENJAMIN,WILSON
190305,d71931bf,BROKERAGE,"AMAZON.COM, INC.",AMZN,576,2024-01-19,2024-01-22,160.98,USD,COMPLETED,SHORT-TERM,JAMIE,GONZALES
626352,65bb6d3e,ROTH IRA,NETFLIX,NFLX,393,2023-03-22,2023-03-23,,EUR,COMPLETED,SHORT-TERM,CARLOS,ALEXANDER
590661,c7d89c02,ROTH IRA,APPLE INC.,AAPL,273,2025-07-07,2025-07-08,2928.33,USD,COMPLETED,AUTO-INVEST,JORGE,LANE
819106,615be49f,CUSTODIAL,ALPHABET INC.,GOOGL,489,2025-07-02,,1941.85,EUR,PENDING,PENDING,MARTHA,STUART
938453,635a1d1e,TRUST,NVIDIA CORPORATION,NVDA,10,2024-09-17,,581.76,CAD,PENDING,PENDING,CHRISTOPHER,ESPARZA
739449,e6db0f51,BROKERAGE,APPLE INC.,AAPL,30,2025-07-18,2025-07-18,1742.82,EUR,COMPLETED,DIVIDENDS REINVESTED,JESSICA,JONES
093449,4115651e,JOINT,APPLE INC.,AAPL,289,2023-01-19,2023-01-20,,EUR,COMPLETED,WATCHLIST,JEFF,MORROW
654674,202b9e1e,JOINT,NETFLIX,NFLX,12,2025-02-14,2025-02-18,,EUR,COMPLETED,,JULIE,HERNANDEZ
616641,bee0412e,BROKERAGE,ALPHABET INC.,GOOGL,522,2025-03-17,2025-03-18,1348.2,EUR,COMPLETED,AUTO-INVEST,MARK,DEAN
780633,64654db4,ROTH IRA,APPLE INC.,AAPL,10,2025-07-18,2025-07-18,426.8,CAD,COMPLETED,WATCHLIST,SAMUEL,NEWTON
433674,fbe24837,401(K),META PLATFORMS,META,79,2023-07-14,,3793.14,EUR,PENDING,PENDING,KIMBERLY,MARTIN
630365,b17dacca,JOINT,JOHNSON & JOHNSON,JNJ,820,2024-01-02,2024-01-03,3149.39,EUR,COMPLETED,,JAMES,POOLE
943586,ab92cd49,ROTH IRA,JOHNSON & JOHNSON,JNJ,801,2023-04-03,2023-04-04,4297.26,USD,COMPLETED,AUTO-INVEST,MELISSA,MARTINEZ
904181,a76ca42b,BROKERAGE,TESLA INC.,TSLA,,2021-07-08,2021-07-09,1938.37,EUR,COMPLETED,,GLORIA,WILLIAMS
