AccountID,FirstName,LastName,SSN,Email,DateOfBirth,MailingAddress,AccountType,RiskTolerance,IncomeBracket,EmploymentStatus,AccountOpenedDate,PhoneNumber,ExtensionNumber
739387,CHRISTOPHER,MILLER,501-32-1398,brooke74@example.com,1978-09-15,"7220 Clinton Walks Apt. 712, East Angelatown, ME 60253",TRUST,LOW,100K-250K,STUDENT,2023-07-04,5913811681,
826621,SEAN,DANIEL,277-11-6559,danielortiz@example.net,1998-08-12,"978 Jennifer Estates, Lake Markfort, AK 40664",CUSTODIAL,MEDIUM,<50K,UNEMPLOYED,2025-04-30,2028358865,
866068,EDWARD,WASHINGTON,350-45-7138,yolanda26@example.com,1979-10-09,"1333 Mark Point Apt. 075, Port Granthaven, NC 72915",CUSTODIAL,HIGH,50K-100K,UNEMPLOYED,2024-11-09,9308877949,47468
907856,JOHN,JOHNSON,795-37-9057,ashley07@example.net,2002-09-29,"2039 Fowler Hill, South Jenniferbury, DC 53724",TRUST,LOW,50K-100K,RETIRED,2024-12-20,3124009132,027
060625,STEPHANIE,PERRY,343-86-8208,davisrachel@example.net,1966-06-06,"Unit 7171 Box 3162, DPO AA 56057",BROKERAGE,HIGH,100K-250K,SELF-EMPLOYED,2025-07-14,+12545386993,4069
746553,DANA,BRADLEY,178-03-5939,daniel56@example.net,1942-04-28,"25764 Patrick Garden Apt. 835, Michaelmouth, PW 22464",BROKERAGE,MEDIUM,100K-250K,EMPLOYED,2021-01-21,6073683668,
927726,ROBERT,MORRISON,782-57-0381,brandtwilliam@example.net,1991-02-08,"66060 Tamara Street, Lake Christopherland, VT 28213",TRUST,LOW,100K-250K,SELF-EMPLOYED,2023-12-02,0013982421378,73558
151323,SHANNON,COSTA,270-37-7472,longchristine@example.org,1976-09-11,"778 Bethany Junctions, Michellefurt, AK 77437",CUSTODIAL,MEDIUM,50K-100K,SELF-EMPLOYED,2021-12-11,6543617234,
794792,THOMAS,DOUGHERTY,529-11-5167,ecobb@example.net,1943-01-18,"94319 Destiny Manors, Mooreland, ID 86700",401(K),MEDIUM,50K-100K,SELF-EMPLOYED,2021-05-10,+19859768213,284
039003,MICHAEL,HAYNES,779-25-5031,tony63@example.org,1997-06-19,"598 Derek Canyon Suite 095, Lake Julieview, AS 06731",CUSTODIAL,MEDIUM,<50K,RETIRED,2023-05-28,7669768714,
232061,FRANCISCO,MILLER,109-75-5725,kellychurch@example.net,1993-08-22,"793 Pamela Stravenue, South Markville, MP 99150",TRUST,MEDIUM,250K+,RETIRED,2020-12-08,5276571095,178
514716,MARCUS,LIN,182-84-5143,klyons@example.com,1979-05-12,"82384 Cynthia Path, West Crystal, TN 77776",CUSTODIAL,HIGH,50K-100K,EMPLOYED,2021-02-09,6884246632,
799271,AMY,JOHNSON,206-41-3227,smithbrian@example.net,1979-09-22,"3448 Lauren Walks Apt. 562, Joshuahaven, FM 24746",401(K),MEDIUM,<50K,STUDENT,2022-10-30,,
795352,FRANK,MARSHALL,058-76-5264,anthonyvalenzuela@example.com,1954-09-15,"91793 Mccarty Manors Suite 607, Jasminehaven, AR 41438",ROTH IRA,LOW,<50K,UNEMPLOYED,2024-03-29,+12529893205,11002
669675,LAUREN,MIRANDA,685-60-9356,petersonerica@example.org,2001-01-26,"83573 Griffith Island, West Shaunchester, LA 79282",ROTH IRA,HIGH,100K-250K,EMPLOYED,2021-12-18,2088426172,762
072136,KAYLA,STEWART,694-18-1745,shane88@example.org,1999-11-29,"PSC 1715, Box 4367, APO AA 59292",ROTH IRA,LOW,50K-100K,UNEMPLOYED,2025-07-01,4946371895,
739449,JESSICA,JONES,453-50-1898,torreslauren@example.org,1980-07-02,"9063 Ronald Pines Apt. 390, Cookebury, NJ 77975",BROKERAGE,LOW,100K-250K,UNEMPLOYED,2025-07-14,4856655327,96812
499100,DEBORAH,MOODY,831-57-0185,kylemorales@example.org,1949-12-13,"52441 Christopher Mountains Apt. 531, East Brianview, MA 30582",ROTH IRA,LOW,<50K,STUDENT,2025-05-24,8214220479,886
228936,SPENCER,CLARK,265-02-9906,kruegerderrick@example.com,1982-05-19,"809 Hernandez Ferry Suite 485, Thompsonshire, PR 56459",JOINT,LOW,100K-250K,SELF-EMPLOYED,2021-03-30,,
897623,WENDY,GILMORE,889-42-7740,inelson@example.net,1939-09-30,"82135 Steven Valleys, Cassandrashire, DE 20044",BROKERAGE,LOW,100K-250K,UNEMPLOYED,2022-06-04,0019365807755,163
190305,JAMIE,GONZALES,407-79-1952,gilmoredavid@example.com,1939-11-29,"150 Lisa Extension Apt. 159, South Collinbury, GA 22713",BROKERAGE,LOW,100K-250K,RETIRED,2020-10-07,+19619204826,
100175,STACY,LEE,775-52-9725,bgonzalez@example.com,1996-04-16,"953 Bennett Mill Apt. 163, Robertsville, RI 65483",CUSTODIAL,MEDIUM,<50K,RETIRED,2024-08-20,,
593272,CHRISTINE,HANSON,096-31-6733,susanhampton@example.org,1958-02-25,"008 Reid Throughway Suite 971, New Jennifer, MS 36260",BROKERAGE,MEDIUM,<50K,UNEMPLOYED,2023-12-22,+14313231164,72024
178881,DREW,SALAZAR,490-94-7280,lyonssamantha@example.org,2002-01-14,"505 Alexander Plains Suite 013, North Chelsea, MH 96982",JOINT,MEDIUM,<50K,SELF-EMPLOYED,2021-08-01,9578149659,95324
780633,SAMUEL,NEWTON,500-38-9614,sarah13@example.org,1964-11-18,"951 Delgado Unions, New Jonathanview, PA 94831",ROTH IRA,MEDIUM,100K-250K,RETIRED,2023-12-19,3059862136,929
137421,TAMMY,CAMPBELL,829-01-7756,danielbrown@example.org,1979-10-13,"138 Kerry Prairie, New William, MS 05954",401(K),LOW,50K-100K,EMPLOYED,2021-03-21,0013462130466,823
671985,KATIE,KIM,373-01-0259,,1958-07-31,"077 Aaron Shoal, North Robert, IL 12990",JOINT,MEDIUM,250K+,RETIRED,2023-07-02,9662244074,228
781565,ALEJANDRA,JIMENEZ,374-49-6352,ibrewer@example.org,1976-02-23,"8530 Hughes Key Suite 576, Mooreview, SC 71164",BROKERAGE,HIGH,<50K,SELF-EMPLOYED,2020-12-22,+14235431035,05469
103637,KEVIN,WALLACE,281-19-1943,hdavis@example.com,1964-03-05,"243 Adams Squares, Lake Christine, FM 01513",TRUST,HIGH,50K-100K,EMPLOYED,2021-07-21,2532043198,
251434,ROBERT,HODGES,143-71-8818,lmcdonald@example.net,1986-07-03,"0162 Marcus Overpass, Dianefurt, WA 81308",JOINT,MEDIUM,100K-250K,SELF-EMPLOYED,2024-12-26,+17922092280,9404
207005,KENNETH,SCHULTZ,022-50-5783,amber09@example.net,1969-09-19,"713 Misty Trail Apt. 528, Amystad, MP 39322",BROKERAGE,LOW,100K-250K,STUDENT,2021-10-10,9132446046,5336
210750,SYLVIA,MCCOY,190-29-2001,jaredthomas@example.com,1977-04-26,"Unit 2388 Box 4587, DPO AE 52670",401(K),MEDIUM,<50K,RETIRED,2025-06-28,0016985236458,619
448193,MITCHELL,OCONNOR,753-19-7774,hparsons@example.org,1955-11-26,"PSC 2695, Box 5194, APO AP 69682",401(K),HIGH,50K-100K,EMPLOYED,2022-04-12,0013989984074,595
923351,LEAH,MENDEZ,346-57-1436,caleb69@example.org,1959-02-27,"0816 Davis Meadow, Jeffreyshire, MD 53133",401(K),LOW,<50K,STUDENT,2024-05-17,0013613448288,3313
587108,YVETTE,WHITE,101-95-9605,xjones@example.net,1958-05-02,"022 Hernandez Summit Suite 148, Tamarachester, NM 27437",CUSTODIAL,HIGH,250K+,UNEMPLOYED,2022-12-01,6866999257,165
308781,THOMAS,JACKSON,819-19-6817,crosbysusan@example.com,1970-06-21,"7026 Jamie Courts Apt. 791, Mannstad, PR 88517",CUSTODIAL,MEDIUM,50K-100K,EMPLOYED,2024-04-04,0014523863967,208
590661,JORGE,LANE,723-30-9932,maurice66@example.net,1985-12-05,"91719 Villanueva Springs, Carrollberg, CT 07571",ROTH IRA,MEDIUM,<50K,STUDENT,2023-09-02,0018873106207,969
786996,DAVID,BEASLEY,789-27-2765,natasharoach@example.org,1991-01-13,"PSC 5951, Box 5622, APO AP 68705",ROTH IRA,HIGH,250K+,EMPLOYED,2023-11-22,8254458567,
762209,DONNA,SMITH,605-99-7894,joseph97@example.net,2002-07-24,"437 Dwayne Cove, Lake Tanyaburgh, MD 82007",JOINT,MEDIUM,<50K,EMPLOYED,2024-04-10,7652753036,7566
271427,HEIDI,COX,188-31-6194,jenkinslisa@example.com,1939-08-05,"00779 Morris Crossroad, Burtonborough, NC 56606",ROTH IRA,HIGH,50K-100K,SELF-EMPLOYED,2021-04-24,0017257005243,735
788359,MATTHEW,LEWIS,607-11-8675,nrivera@example.org,1977-02-27,"5054 Turner Courts Apt. 100, Kathleenhaven, NJ 23192",TRUST,LOW,250K+,STUDENT,2024-11-13,0013688407873,379
045531,KATHRYN,MCCANN,118-26-7104,vdodson@example.net,1940-12-02,"7584 James Rue, Drakeborough, AR 12308",JOINT,MEDIUM,250K+,UNEMPLOYED,2022-02-03,0014803675516,1384
509680,SEAN,DANIEL,655-72-0833,pnorman@example.com,1989-07-10,"63472 Sandra Way Suite 807, New Christopherland, MT 96601",CUSTODIAL,MEDIUM,100K-250K,UNEMPLOYED,2023-04-02,0017385408506,463
864319,JOSE,THOMAS,847-92-1567,hansenbelinda@example.org,1980-08-06,"9581 Lawrence Garden, New Heatherside, NC 16199",ROTH IRA,LOW,50K-100K,RETIRED,2024-07-07,6482356314,
425157,STEPHANIE,BENNETT,049-79-0618,asnow@example.com,1949-07-21,"003 Carr Underpass, East Gina, IN 88800",BROKERAGE,MEDIUM,100K-250K,UNEMPLOYED,2024-03-22,0019766082980,0987
159491,BETH,KING,717-99-5694,hhunter@example.com,1990-02-22,"439 Williams Pass, Lake Richardbury, NV 96599",TRUST,LOW,<50K,SELF-EMPLOYED,2024-05-29,0015342335970,
176145,JOSEPH,CRAWFORD,220-40-1941,ijackson@example.net,1997-02-26,"61100 Garcia Haven, North Joshua, OK 57824",ROTH IRA,MEDIUM,250K+,EMPLOYED,2021-09-24,,
161388,LESLIE,MONTOYA,636-48-6931,,1975-08-24,"0058 Eric Centers, South Mariamouth, CA 99738",ROTH IRA,HIGH,100K-250K,RETIRED,2021-12-16,0019869625651,
423183,HANNAH,CANTRELL,577-12-0823,theresa08@example.org,1962-09-09,"60334 King Center, Colonchester, NJ 12303",BROKERAGE,LOW,50K-100K,EMPLOYED,2021-09-12,4094803434,60049
398843,BRIAN,GARCIA,473-94-8487,carl24@example.org,1954-08-18,"0065 Hood Mountain, Moralesport, OH 84970",TRUST,MEDIUM,250K+,EMPLOYED,2022-06-07,7615365736,521
621357,GARY,LYNCH,760-83-8185,tammy32@example.net,1988-03-27,"2292 Odonnell Groves Apt. 121, East Rebeccaview, NH 51851",CUSTODIAL,LOW,50K-100K,EMPLOYED,2023-06-05,+19836807644,382
520381,KYLE,MILLER,808-87-4379,vcervantes@example.net,1958-02-14,"3096 Shelton Mill Suite 959, Edwardstad, FL 04197",ROTH IRA,LOW,250K+,STUDENT,2023-12-15,+16236629937,247
495488,COURTNEY,DEAN,187-21-1577,wallacelori@example.org,1981-09-24,"6522 Perry Spur, Kellymouth, WV 24896",BROKERAGE,MEDIUM,100K-250K,SELF-EMPLOYED,2025-01-07,0016567172236,
470840,ISAAC,WOOD,707-44-0741,kimberlyharris@example.com,1967-02-27,"6097 Williams Ports Apt. 675, South Ryan, DE 69246",TRUST,LOW,250K+,SELF-EMPLOYED,2020-12-05,7719101413,7059
155854,MARK,BROWN,285-09-6428,scottmueller@example.org,1970-11-24,"7922 Taylor Mills, Grahamville, MO 53593",BROKERAGE,LOW,100K-250K,RETIRED,2023-01-05,0012877094685,4145
093829,JOHN,SULLIVAN,233-58-7523,orowe@example.net,2001-07-23,"8044 Newton Keys, East Cynthiafort, MP 77708",ROTH IRA,HIGH,<50K,EMPLOYED,2024-10-31,9315041760,
685835,BENJAMIN,CARRILLO,091-06-0822,kdean@example.net,1954-10-11,"2862 Nelson Flat, East Daniel, AZ 64454",BROKERAGE,MEDIUM,250K+,STUDENT,2023-04-01,+19003774229,74793
536087,JAY,NELSON,581-93-3386,wangshirley@example.com,1984-10-14,"51978 Pitts Hollow, Eugenefort, AR 90390",CUSTODIAL,HIGH,<50K,SELF-EMPLOYED,2021-02-10,,
093449,JEFF,MORROW,899-57-4275,jmyers@example.net,1939-11-05,"2492 Juarez Brooks, Lopezfurt, WA 11955",JOINT,MEDIUM,<50K,EMPLOYED,2020-11-03,0016823879719,
098093,KENNETH,HARTMAN,290-45-3714,gomezstephen@example.org,1976-09-29,"89820 Kaiser Mall Apt. 611, Lorifort, SC 10547",401(K),HIGH,50K-100K,UNEMPLOYED,2023-09-17,0019349342586,263
387916,DONNA,SMITH,090-90-7578,leewalls@example.com,1981-09-08,"4292 Jeff Street Apt. 136, Barbaratown, MI 08329",TRUST,MEDIUM,100K-250K,UNEMPLOYED,2022-09-25,3653932066,
943586,MELISSA,MARTINEZ,326-52-4177,washingtonmeagan@example.org,1990-06-28,"38773 Ashley Parks Suite 668, New Brookemouth, OH 85419",ROTH IRA,HIGH,<50K,SELF-EMPLOYED,2021-07-15,5742822618,3622
693480,JAMES,MILLER,013-31-3500,fryealbert@example.net,1999-12-31,"9983 Michael Falls Apt. 771, Lake Brianfort, AK 79759",TRUST,LOW,50K-100K,SELF-EMPLOYED,2025-01-13,+19726939786,72721
195206,BRENDAN,HALE,391-92-5071,pburton@example.org,1960-04-06,"4708 Bethany Mountains, New Kellytown, SC 13319",TRUST,HIGH,100K-250K,UNEMPLOYED,2020-10-03,3943520251,
915579,LOGAN,JOHNSON,514-75-3499,oortega@example.com,1953-02-13,"5712 Lisa Loaf, Elaineport, NV 46237",BROKERAGE,HIGH,100K-250K,SELF-EMPLOYED,2023-08-06,2318116717,22284
995012,MICHAEL,COLLINS,464-91-0094,lross@example.net,1997-09-20,"03054 Robert Garden, Lake Spencertown, FM 87896",401(K),MEDIUM,<50K,SELF-EMPLOYED,2024-10-14,6789567896,
575239,JEREMY,MARTIN,457-68-5335,,1956-09-28,"3867 Charles Island Apt. 708, Sarachester, LA 78408",401(K),HIGH,50K-100K,UNEMPLOYED,2024-12-23,5356269248,7059
996217,EDWARD,MEDINA,209-90-9393,hcook@example.com,1953-05-26,"86280 Ashley Plaza, Palmerburgh, FL 52380",401(K),MEDIUM,250K+,EMPLOYED,2025-04-04,5976028962,39026
631373,STEPHANIE,SMITH,493-97-5249,kathleenmitchell@example.org,1980-10-27,"943 Brennan Crossing Apt. 616, New Jenniferport, RI 98600",TRUST,MEDIUM,100K-250K,UNEMPLOYED,2024-09-23,4119040920,971
028008,BRITTANY,SMITH,784-30-6741,arhodes@example.org,1984-06-08,"3655 Lindsey Rapids, Hullfurt, NV 85325",JOINT,HIGH,<50K,STUDENT,2024-10-20,5202929105,
482700,KAREN,SHAFFER,766-27-4308,tbradley@example.net,1988-07-06,"942 Hines Ramp, New Jennifer, MO 64800",BROKERAGE,MEDIUM,50K-100K,RETIRED,2021-11-02,4689779819,193
496101,MITCHELL,MASSEY,395-67-2334,ashlee74@example.net,1996-03-13,"66940 Vicki Extensions Apt. 095, New Alexanderberg, MT 38856",JOINT,LOW,50K-100K,RETIRED,2023-11-14,5494924749,
904181,GLORIA,WILLIAMS,296-49-7825,robinsonjason@example.com,1983-08-30,"81469 Haley Fords, East Nathan, AZ 79817",BROKERAGE,MEDIUM,250K+,STUDENT,2020-10-14,2494104795,929
583113,ANNE,MARTIN,270-32-8392,johnmontes@example.com,1968-02-11,"7968 Martinez Hollow, Simsville, IN 34601",BROKERAGE,HIGH,50K-100K,UNEMPLOYED,2020-08-15,0017799236254,
462783,DANIELLE,PRICE,673-97-0039,fgraves@example.com,2003-04-19,"869 Timothy Branch, Ericberg, NV 94423",401(K),MEDIUM,100K-250K,SELF-EMPLOYED,2023-11-11,0016496088200,
740826,RICHARD,MILLER,189-90-6390,vanglisa@example.com,1947-08-24,"86280 Fuller Shoal, Lake Jessicaburgh, MI 69756",401(K),LOW,100K-250K,UNEMPLOYED,2025-05-05,3937184324,13894
439346,CHRISTOPHER,LOWERY,103-71-5525,rberger@example.com,2002-01-08,"6165 Dustin Parkway, Rachelville, LA 14916",ROTH IRA,LOW,<50K,UNEMPLOYED,2021-01-30,2537626071,
868939,CYNTHIA,MILLS,505-14-8885,steintonya@example.com,2003-03-01,"1494 Kathy Courts Suite 889, Port David, DE 47010",CUSTODIAL,HIGH,50K-100K,STUDENT,2022-02-22,2788501552,
727294,KIMBERLY,WILLIAMS,511-13-2388,pcollins@example.com,1940-12-10,"57889 Bryan Cape Apt. 807, Pooleville, MT 70650",BROKERAGE,MEDIUM,50K-100K,STUDENT,2022-11-24,3155212066,
613288,KENNETH,HARTMAN,520-43-4353,edwardsjustin@example.com,1989-04-25,"493 Miller Flats, Sydneyberg, OR 82998",JOINT,MEDIUM,<50K,UNEMPLOYED,2025-03-06,6735989240,
770530,TERRY,NEWTON,655-83-1001,bruce56@example.org,1952-05-09,"73050 Soto Unions Apt. 926, South Jasmineside, GA 32255",401(K),MEDIUM,<50K,UNEMPLOYED,2024-03-12,3774702432,5519
060888,GLEN,THOMAS,760-95-6542,ghale@example.com,1958-01-23,"472 Alexander Gateway, Joshuaton, OK 24967",BROKERAGE,HIGH,250K+,EMPLOYED,2024-06-17,,
870729,SABRINA,BOWEN,301-06-8650,emelton@example.org,1995-12-28,"422 Christopher Port Suite 544, Gonzaleztown, MS 18928",401(K),LOW,100K-250K,UNEMPLOYED,2024-08-09,5053313474,
594008,BENJAMIN,WILSON,191-54-4434,agutierrez@example.org,1945-11-03,"738 James Turnpike Apt. 464, Port William, OR 63147",TRUST,MEDIUM,250K+,RETIRED,2023-04-24,8367313051,
412643,SHARON,STEWART,724-81-5606,aimee92@example.com,1944-01-22,"022 Jose Road, Jameshaven, PR 97661",TRUST,MEDIUM,<50K,EMPLOYED,2020-11-20,8862031861,6123
624377,TAMMY,ALLISON,550-90-8732,kylieanderson@example.org,1979-06-02,"14808 Juan Skyway, Port Ashleymouth, DC 46127",ROTH IRA,LOW,<50K,EMPLOYED,2025-04-05,0013583711101,
219322,ANTHONY,FLYNN,039-45-9724,tylerolson@example.com,1994-01-03,"528 Jennifer Courts Suite 412, Jonesburgh, ME 91350",401(K),LOW,250K+,UNEMPLOYED,2024-06-19,0018869342691,
676248,STEVEN,ORTEGA,602-29-1826,slewis@example.org,1964-02-13,"513 Michael Prairie Suite 558, East Jasonfort, ND 38541",CUSTODIAL,LOW,100K-250K,UNEMPLOYED,2022-03-02,7595927390,370
026885,BRITTANY,ROBERTS,801-59-1619,lauramartinez@example.org,1957-12-23,"0598 Ronald Groves, North Christianmouth, HI 03176",JOINT,HIGH,250K+,STUDENT,2023-10-09,7277097906,
821622,MITCHELL,FERGUSON,713-28-5107,ggarcia@example.org,1973-06-04,"735 Raymond Village, East Thomas, ND 01226",BROKERAGE,LOW,250K+,RETIRED,2024-04-26,4585962202,
702451,CAROLYN,POWELL,622-17-7128,matthew51@example.com,1987-01-30,"93551 Perez Causeway, Port Charles, WV 49704",TRUST,LOW,100K-250K,UNEMPLOYED,2023-06-18,6894329810,
361435,CAROLYN,MANN,523-61-6627,kingbrianna@example.net,1940-11-08,"3097 Catherine Glens Suite 721, Emmafurt, NJ 33650",401(K),LOW,100K-250K,RETIRED,2024-02-24,+16133406258,418
860219,ANDREA,DENNIS,021-66-5761,melaniefleming@example.com,1964-05-31,"3307 Steven Wall Apt. 386, Lake Victoria, HI 60934",401(K),MEDIUM,50K-100K,UNEMPLOYED,2021-02-01,3344828402,0102
360566,JAMES,FERGUSON,312-42-7076,heather11@example.org,1985-01-13,"3081 Hooper Walk Apt. 378, South Albert, AZ 12573",ROTH IRA,HIGH,<50K,UNEMPLOYED,2025-03-21,+14638218408,60767
414802,WALTER,GUZMAN,007-88-8784,tlee@example.net,1979-08-14,"94930 Lamb Valley Apt. 088, Escobarland, AR 83736",401(K),MEDIUM,100K-250K,SELF-EMPLOYED,2023-03-24,0017268566042,893
952950,TOM,PATTERSON,056-03-1910,ryan55@example.com,1979-06-23,"45965 Glen Lane, West Sheilamouth, AR 47102",JOINT,MEDIUM,250K+,UNEMPLOYED,2023-07-14,0017079577860,50642
504812,JENNIFER,KING,514-11-1010,,1989-10-28,"08803 Harrison Isle Suite 425, New Stephanieside, HI 76430",ROTH IRA,MEDIUM,50K-100K,RETIRED,2022-03-19,6016992618,545
606604,SHARON,RUIZ,801-65-9903,,1961-07-19,"04681 Williams Stream Suite 066, East Patrickland, LA 25638",ROTH IRA,MEDIUM,50K-100K,EMPLOYED,2021-06-14,0013548447130,9406
938453,CHRISTOPHER,ESPARZA,431-05-2310,scottvictor@example.org,1999-11-15,"793 Green Glen, South Julia, UT 50079",TRUST,MEDIUM,<50K,UNEMPLOYED,2024-02-18,6813552161,385
275773,AARON,JONES,293-33-2271,wfigueroa@example.net,1983-02-15,"68244 Riley Manors, North Pamela, NC 72681",TRUST,LOW,50K-100K,RETIRED,2024-06-02,7857612167,924
903108,MACKENZIE,BARRETT,298-21-5633,kimberly85@example.com,1999-04-21,"77480 Heidi Mountain Suite 071, Hansenland, TN 02476",JOINT,MEDIUM,50K-100K,SELF-EMPLOYED,2025-02-23,+16656279614,035
058600,LEAH,LARSEN,516-98-7133,rcooley@example.org,1962-03-11,"4495 Robin Village Apt. 439, Port Meganton, PW 74229",BROKERAGE,HIGH,<50K,EMPLOYED,2022-11-02,3483820234,
819106,MARTHA,STUART,078-24-6293,melanie91@example.com,1995-06-03,"37880 James Village Apt. 958, South Rachelton, OK 57952",CUSTODIAL,LOW,<50K,RETIRED,2021-08-27,+15972774925,
663462,REBECCA,WARD,245-28-4180,tarahayden@example.org,1985-06-13,"182 Snow Underpass, Hopkinsburgh, VI 39878",BROKERAGE,MEDIUM,250K+,EMPLOYED,2021-09-01,7116455256,
895272,RONALD,SPARKS,040-50-8195,lindsey52@example.org,1987-05-26,"424 Thomas Rapid, Laurieberg, AR 52872",TRUST,MEDIUM,<50K,STUDENT,2023-03-29,+14466777918,4888
635995,STEPHEN,CARTER,585-65-8927,ashley93@example.com,1990-06-11,"825 Roberts Prairie, Andrewschester, MO 88408",TRUST,LOW,100K-250K,EMPLOYED,2025-07-08,,
503480,THEODORE,MALDONADO,854-41-1918,destiny80@example.org,1990-07-03,"5024 Kevin Islands, West Carmenfurt, AR 80082",JOINT,MEDIUM,<50K,SELF-EMPLOYED,2024-12-18,,
