Name,Account ID,Transaction ID,Account Type,Asset,Ticker,Quantity,Trade Date,Settlement Date,Price Per Share,Currency,Status,Notes
JONATHAN RAMOS,ACC-9586-98,a475d9fb,401(k), ALPHABET INC. ,Googl,99,10/3/2024,4-Oct-2024,$2963.02,CAD,Completed,dividends reinvested
Mr. LOGAN johnson,ACC-9155-79,3a7f67eb,Brokerage,Microsoft Corp,msft,554,7/31/2024,1-Aug-2024,N/A,EUR,Completed,watchlist
sean daniel,ACC-5096-80,4fd536b6,Custodial,Nvidia Corporation,Nvda,893,8/9/2023,8/10/2023,88.25,USD,Completed,watchlist
JULIE hernandez,ACC-6546-74,63ec74a4,Joint,ALPHABET INC.,googl,176,2/25/2025,2/26/2025,$972.06,USD,Completed,dividends reinvested
kenneth HARTMAN,ACC-6132-88,f5302695,Joint,MICROSOFT CORP,Msft,982,24-Mar-2025,,"4,989.10 USD",EUR,Pending,pending
Terry Newton,ACC-7705-30,da62814c,401(k),BERKSHIRE HATHAWAY,Brk.,158,13-Jun-2025,6/16/2025,N/A,CAD,Completed,watchlist
stephanie BENNETT,ACC-4251-57,12fc0d99,Brokerage,"AMAZON.COM, INC.",Amzn,676,9/9/2024,10-Sep-2024,N/A,CAD,Completed,
stephen CARTER,ACC-6359-95,700b8291,Trust, Johnson & Johnson ,JNJ,ten,7/9/2025,10-Jul-2025,"$3,460.95",EUR,Completed,dividends reinvested
TROY GUZMAN,ACC-1451-14,dc23d3fa,Joint,ALPHABET INC.,GOOGL,714,12-Aug-2022,,"$4,156.31",EUR,Pending,pending
,ACC-3802-06,313d2415,Roth IRA, johnson & johnson ,jnj,769,9-Apr-2024,10-Apr-2024,948.58usd,USD,Completed,
,ACC-2320-61,91225f59,Trust," AMAZON.COM, INC. ",Amzn,650,7-Jan-2021,8-Jan-2021,"2,424.29 USD",USD,Completed,
JOSEPH Crawford,ACC-1761-45,1c9963f2,Roth IRA,Nvidia Corporation,Nvda,N/A,10/27/2023,30-Oct-2023,2237.36usd,CAD,Completed,watchlist
FRANK MARSHALL,ACC-7953-52,616c60d4,Roth IRA,TESLA INC.,Tsla,369,10/21/2024,10/22/2024,"1,458.14 USD",USD,Completed,
mitchell Ferguson,ACC-8216-22,030c52fd,Brokerage,alphabet inc.,GOOGL,580,12/20/2024,12/23/2024,N/A,CAD,Completed,
Sharon Ruiz,ACC-6066-04,ef7012c8,Roth IRA,"Amazon.Com, Inc.",AMZN,23,12/18/2024,19-Dec-2024,405.04,USD,Completed,
MICHAEL Bentley,ACC-6420-70,b726963d,Brokerage,JOHNSON & JOHNSON,Jnj,N/A,1-Sep-2023,9/5/2023,$2080.9,CAD,Completed,
mr. Michael Haynes,ACC-0390-03,9958d612,Custodial,johnson & johnson,JNJ,N/A,8/12/2024,13-Aug-2024,1705.91,CAD,Completed,watchlist
leslie montoya,ACC-1613-88,8b287852,Roth IRA,johnson & johnson,JNJ,153,10/4/2022,5-Oct-2022,$2951.58,USD,Completed,dividends reinvested
edward medina,,bb29c677,401(k),microsoft corp,MSFT,982,23-May-2025,27-May-2025,2985.23usd,USD,Completed,
Timothy CHAPMAN,ACC-0700-77,fe196474,401(k),TESLA INC.,Tsla,509,1/2/2024,,N/A,USD,Pending,pending
drew salazar,ACC-1788-81,d0f5caa0,Joint,Netflix,NFLX,787,5/8/2023,,"$1,627.51",CAD,Pending,pending
stephen Carter,ACC-6359-95,f5dbd6c9,Trust,Alphabet Inc.,Googl,808,7/11/2025,14-Jul-2025,$419.69,CAD,Completed,watchlist
tammy ALLISON,ACC-6243-77,8631afda,Roth IRA,Netflix,nflx,461,6/23/2025,6/24/2025,4454.30usd,CAD,Completed,auto-invest
CASEY middleton,ACC-1246-49,25a9d88b,401(k),"AMAZON.COM, INC.",amzn,493,23-Oct-2023,24-Oct-2023,N/A,CAD,Completed,dividends reinvested
walter Guzman,ACC-4148-02,8bd9c548,401(k),meta platforms,Meta,119,17-Apr-2023,18-Apr-2023,N/A,EUR,Completed,
Deborah ATKINSON,ACC-9187-98,5116849e,Joint,meta platforms,Meta,N/A,3-Jul-2023,5-Jul-2023,1743.01usd,EUR,Completed,dividends reinvested
ROBERT HODGES,ACC-2514-34,d248478a,Joint,meta platforms,meta,50,26-Jun-2025,6/27/2025,$2142.3,CAD,Completed,short-term
jessica ARELLANO,ACC-5569-10,2815524f,Roth IRA,tesla inc.,TSLA,294,19-Apr-2024,22-Apr-2024,N/A,USD,Completed,short-term
BRIAN GARCIA,ACC-3988-43,0ffddf0a,Trust,Tesla Inc.,tsla,886,26-Jul-2023,7/27/2023,"$2,150.61",EUR,Completed,dividends reinvested
Terry Newton,,b344080f,401(k),META PLATFORMS,META,183,5/21/2024,,"$3,525.80",EUR,Pending,pending
FRANK Galloway,ACC-3250-12,4a0dc49d,Joint,johnson & johnson,Jnj,679,10/12/2023,,$3897.1,CAD,Pending,pending
,,43c59167,401(k),NVIDIA CORPORATION,NVDA,617,7-Jul-2025,8-Jul-2025,"$3,969.27",CAD,Completed,watchlist
Aaron JONES,ACC-2757-73,4f0c4351,Trust,microsoft corp,msft,877,1-Jul-2024,7/2/2024,"$3,228.72",CAD,Completed,dividends reinvested
BENJAMIN WILSON,ACC-5940-08,6ff1ce60,Trust,NVIDIA CORPORATION,Nvda,759,13-Aug-2024,14-Aug-2024,$4065.60,USD,Completed,watchlist
anthony FLYNN,ACC-2193-22,6fc5bf6b,401(k),microsoft corp,msft,132,5-Sep-2024,6-Sep-2024,1772.94usd,CAD,Completed,
Edward medina,ACC-9962-17,3b23b8dd,401(k),Microsoft Corp,msft,ten,7-May-2025,8-May-2025,697.61 USD,USD,Completed,short-term
jennifer CLARKE,ACC-4466-77,6faa85d9,Brokerage,microsoft corp,msft,N/A,18-Jan-2024,1/19/2024,988.67,CAD,Completed,watchlist
Spencer clark,ACC-2289-36,6e28bb4b,Joint,Meta Platforms,META,424,6/30/2025,7/1/2025,$1996.4,USD,Completed,dividends reinvested
patrick Hernandez,ACC-5412-61,9dccfc5d,Brokerage,alphabet inc.,GOOGL,390,24-Oct-2022,,1769.20usd,CAD,Pending,pending
BRENDAN hale,ACC-1952-06,7cc80a15,Trust,MICROSOFT CORP,msft,535,8/18/2023,21-Aug-2023,238.91usd,EUR,Completed,
frank Galloway,ACC-3250-12,77efbe06,Joint, APPLE INC. ,aapl,476,29-Sep-2023,2-Oct-2023,"$3,943.40",CAD,Completed,auto-invest
christopher ESPARZA,ACC-9384-53,0823abb8,Trust,"AMAZON.COM, INC.",Amz,169,10/22/2024,23-Oct-2024,"1,442.55 USD",USD,Completed,
JORGE lane,ACC-5906-61,14129fff,Roth IRA,"AMAZON.COM, INC.",AMZN,774,10/18/2024,21-Oct-2024,$970.0,EUR,Completed,watchlist
Christine Hanson,ACC-5932-72,502ec588,Brokerage,alphabet inc.,googl,23,14-Mar-2025,17-Mar-2025,"$4,908.13",EUR,Completed,watchlist
SAMUEL newton,ACC-7806-33,9c5452d6,Roth IRA,NETFLIX,NFLX,ten,2/5/2025,6-Feb-2025,63.88usd,EUR,Completed,dividends reinvested
Leah Larsen,ACC-0586-00,5aa1bf05,Brokerage,Berkshire Hathaway,BRK.A,81,15-Sep-2023,,$1225.8,CAD,Pending,pending
BRENDAN hale,ACC-1952-06,9a5109ab,Trust, johnson & johnson ,JNJ,57,22-Jun-2022,6/23/2022,"$4,047.42",CAD,Completed,watchlist
brian GARCIA,ACC-3988-43,5bc0b490,Trust,apple inc.,AAPL,335,12/12/2023,12/13/2023,N/A,USD,Completed,auto-invest
james FERGUSON,ACC-3605-66,9beef200,Roth IRA,Meta Platforms,META,781,4/18/2025,4/21/2025,1848.14usd,CAD,Completed,
Terry Newton,ACC-7705-30,cbb69ead,401(k),Berkshire Hathaway,Brk.A,227,3/28/2024,29-Mar-2024,$2748.39,CAD,Completed,short-term
terry Newton,ACC-7705-30,297fb96a,401(k), BERKSHIRE HATHAWAY ,BRK.,154,17-May-2024,5/20/2024,"$4,202.21",EUR,Completed,watchlist
edward medina,ACC-9962-17,992b1a8f,401(k),netflix,NFLX,ten,23-May-2025,5/27/2025,N/A,USD,Completed,watchlist
benjamin wilson,ACC-5940-08,fe131dec,Trust,alphabet inc.,Googl,706,6/14/2023,15-Jun-2023,$2378.9,EUR,Completed,auto-invest
JAMES POOLE,ACC-6303-65,c7c150fc,Joint,"amazon.com, inc.",AMZN,ten,10/24/2024,10/25/2024,"1,271.10 USD",USD,Completed,watchlist
,ACC-4627-83,dc71e400,401(k),"AMAZON.COM, INC.",Amzn,925,12-Nov-2024,13-Nov-2024,4371.26usd,USD,Completed,
jessica JONES,ACC-7394-49,8d1eaa67,Brokerage, Microsoft Corp ,msft,N/A,15-Jul-2025,7/16/2025,"4,409.98 USD",USD,Completed,short-term
,ACC-8897-53,3b5b5ec3,401(k),NVIDIA CORPORATION,NVDA,664,16-May-2023,17-May-2023,"$1,857.18",CAD,Completed,
FRANK MORGAN,ACC-1723-94,86fdf31b,401(k),Nvidia Corporation,Nvda,827,11/14/2022,11/15/2022,2693.63usd,EUR,Completed,auto-invest
CHRISTOPHER LOWERY,ACC-4393-46,91327bc3,Roth IRA,"AMAZON.COM, INC.",amzn,554,12/6/2023,12/7/2023,"3,718.93 USD",USD,Completed,auto-invest
DAVID Beasley,ACC-7869-96,b187997c,Roth IRA, APPLE INC. ,aapl,85,9-Oct-2024,10-Oct-2024,$3882.21,EUR,Completed,dividends reinvested
DONNA smith,ACC-3879-16,7e3a62a9,Trust,BERKSHIRE HATHAWAY,brk.a,81,7-Dec-2022,,"$1,762.54",EUR,Pending,pending
STEPHANIE perry,ACC-0606-25,bd1098db,Brokerage,META PLATFORMS,met,807,7/17/2025,7/18/2025,"$4,803.77",USD,Completed,watchlist
timothy Chapman,,a629f4cd,401(k),Netflix,Nflx,596,16-Nov-2021,11/17/2021,"$3,372.83",USD,Completed,watchlist
TROY guzman,ACC-1451-14,f298765c,Joint,"AMAZON.COM, INC.",AMZN,107,4/8/2022,11-Apr-2022,2868.18,USD,Completed,
LAUREN MIRANDA,ACC-6696-75,c3039f4d,Roth IRA,TESLA INC.,tsla,144,24-May-2022,,451.91 USD,CAD,Pending,pending
deborah MOODY,ACC-4991-00,3752c21b,Roth IRA,Johnson & Johnson,JNJ,220,6/23/2025,24-Jun-2025,"$3,291.27",USD,Completed,auto-invest
PAMELA JACKSON,ACC-5892-09,7ece1b94,401(k),Tesla Inc.,Tsla,167,5-Jul-2024,8-Jul-2024,N/A,CAD,Completed,short-term
JEFFREY Ford,ACC-8897-53,8a4b0c71,401(k),JOHNSON & JOHNSON,jn,730,5-Sep-2023,6-Sep-2023,$4088.9,EUR,Completed,auto-invest
kenneth Hartman,ACC-6132-88,f60fb705,Joint,tesla inc.,tsla,374,3/26/2025,3/27/2025,N/A,EUR,Completed,short-term
sabrina Bowen,ACC-8707-29,13093fa8,401(k),APPLE INC.,aapl,ten,11-Apr-2025,4/14/2025,4751.31usd,CAD,Completed,watchlist
JORGE Lane,ACC-5906-61,e17e5109,Roth IRA,apple inc.,AAPL,184,3/25/2025,26-Mar-2025,"2,455.40 USD",CAD,Completed,auto-invest
,,a44f6554,Joint, nvidia corporation ,NVDA,633,5-Jul-2023,6-Jul-2023,1829.19,CAD,Completed,short-term
MACKENZIE barrett,ACC-9031-08,0e454e66,Joint,Netflix,nflx,665,6/10/2025,,428.72,USD,Pending,pending
Mrs. MELISSA Martinez MD,ACC-9435-86,5ce430b5,Roth IRA,JOHNSON & JOHNSON,jnj,952,24-Apr-2024,,N/A,USD,Pending,pending
gary LYNCH,ACC-6213-57,c631f458,Custodial,ALPHABET INC.,Googl,754,6/10/2025,11-Jun-2025,3508.81usd,CAD,Completed,auto-invest
brian garcia,ACC-3988-43,233a75b7,Trust,Berkshire Hathaway,brk.a,247,4-May-2023,,$4933.6,EUR,Pending,pending
ROBERT MORRISON,ACC-9277-26,34f4e393,Trust,Microsoft Corp,MSFT,54,3/21/2025,24-Mar-2025,"4,283.19 USD",CAD,Completed,watchlist
SHAWN DRAKE,ACC-9933-80,47f95afc,Brokerage,NETFLIX,nflx,ten,19-Aug-2022,22-Aug-2022,"$3,812.01",CAD,Completed,dividends reinvested
,ACC-0390-03,bab4f98c,Custodial,"amazon.com, inc.",AMZN,156,4/2/2024,,868.51,CAD,Pending,pending
pamela jackson,ACC-5892-09,20b58ed7,401(k),"AMAZON.COM, INC.",amzn,482,4/21/2025,22-Apr-2025,3977.00usd,EUR,Completed,watchlist
KENNETH hartman,ACC-6132-88,676346a9,Joint,"amazon.com, inc.",amz,208,3-Jun-2025,6/4/2025,N/A,CAD,Completed,auto-invest
EDWARD MEDINA,ACC-9962-17,29a5dacd,401(k),Nvidia Corporation,NVDA,59,6/9/2025,10-Jun-2025,718.00,EUR,Completed,short-term
thomas Jackson,ACC-3087-81,844ade9f,Custodial,"amazon.com, inc.",AMZN,374,26-Aug-2024,27-Aug-2024,$164.0,CAD,Completed,dividends reinvested
Robert morrison,ACC-9277-26,6da85aee,Trust,"AMAZON.COM, INC.",Amzn,909,20-Sep-2024,9/23/2024,$3419.3,EUR,Completed,dividends reinvested
CARLOS Alexander,ACC-6263-52,68c38cf6,Roth IRA, Apple Inc. ,AAPL,904,29-Aug-2023,8/30/2023,835.90,USD,Completed,auto-invest
RACHEL richmond,ACC-3802-06,8c096b70,Roth IRA,ALPHABET INC.,googl,435,2/10/2023,13-Feb-2023,"3,033.17 USD",EUR,Completed,watchlist
Richard Miller,ACC-7408-26,17183a28,401(k),ALPHABET INC.,googl,412,7/11/2025,7/14/2025,4194.73,CAD,Completed,dividends reinvested
BRITTANY smith,ACC-0280-08,43117e5a,Joint,TESLA INC.,tsla,778,1/14/2025,15-Jan-2025,"$4,902.74",USD,Completed,watchlist
heidi Cox,ACC-2714-27,4aa65be0,Roth IRA," amazon.com, inc. ",amzn,837,7-Nov-2024,8-Nov-2024,N/A,EUR,Completed,auto-invest
JASMINE richard,ACC-1551-74,b949066e,Joint,JOHNSON & JOHNSON,jnj,88,10/2/2024,3-Oct-2024,1751.04,CAD,Completed,
LEAH Larsen,ACC-0586-00,44663c7b,Brokerage, Nvidia Corporation ,Nvda,205,27-May-2025,28-May-2025,$419.63,USD,Completed,auto-invest
TROY guzman,ACC-1451-14,e342c9be,Joint,NETFLIX,NFLX,763,24-Oct-2022,10/25/2022,$4217.9,USD,Completed,
JORGE LANE,ACC-5906-61,731a1132,Roth IRA,johnson & johnson,jnj,214,6/7/2024,6/10/2024,1637.61,CAD,Completed,auto-invest
TARA MCCOY,ACC-9847-12,7f9e6072,Roth IRA,NVIDIA CORPORATION,Nvda,916,1/6/2025,,1220.84usd,EUR,Pending,pending
,ACC-3087-81,f59e8b40,Custodial,berkshire hathaway,BRK.A,ten,5-Jul-2024,7/8/2024,N/A,CAD,Completed,dividends reinvested
Kenneth Schultz,ACC-2070-05,deb78e0a,Brokerage,Meta Platforms,Meta,192,28-Feb-2022,,2885.45usd,CAD,Pending,pending
tammy campbell,ACC-1374-21,e0c6abc1,401(k),NETFLIX,NFLX,70,17-Aug-2021,8/18/2021,$2088.5,CAD,Completed,auto-invest
CHRISTOPHER LOWERY,ACC-4393-46,ae591b47,Roth IRA,Meta Platforms,META,495,12/10/2024,11-Dec-2024,N/A,CAD,Completed,watchlist
sean DANIEL,ACC-5096-80,8b2b8f3f,Custodial,microsoft corp,msft,279,7/1/2025,7/2/2025,$4002.3,CAD,Completed,auto-invest
Cynthia MILLS,ACC-8689-39,82ab1d8c,Custodial,Microsoft Corp,MSFT,182,6/30/2022,,"$1,173.43",USD,Pending,pending
KEVIN Wallace,ACC-1036-37,5f98575c,Trust, NETFLIX ,nflx,835,12/28/2023,12/29/2023,945.01usd,CAD,Completed,short-term
Brittany SMITH,ACC-0280-08,16d8d437,Joint,ALPHABET INC.,GOOGL,961,18-Jul-2025,18-Jul-2025,925.75usd,USD,Completed,auto-invest
benjamin WILSON,ACC-5940-08,380040a6,Trust,netflix,Nflx,ten,2-Jun-2023,6/5/2023,N/A,EUR,Completed,dividends reinvested
BRANDON Mills,ACC-3659-34,58e8a5b9,401(k),Johnson & Johnson,Jnj,29,9-Apr-2025,4/10/2025,"$3,500.03",USD,Completed,
kayla STEWART,,9028285e,Roth IRA,JOHNSON & JOHNSON,Jnj,N/A,3-Jul-2025,7-Jul-2025,"$2,565.58",USD,Completed,dividends reinvested
THOMAS Dougherty,ACC-7947-92,5d6f512f,401(k),META PLATFORMS,Meta,593,11/13/2024,14-Nov-2024,"3,852.06 USD",USD,Completed,watchlist
kevin Wallace,ACC-1036-37,bfcaba08,Trust,alphabet inc.,GOOGL,95,29-Aug-2023,30-Aug-2023,981.79 USD,EUR,Completed,
robert morrison,ACC-9277-26,badc75cb,Trust,NVIDIA CORPORATION,Nvda,ten,4-Sep-2024,5-Sep-2024,$3358.1,CAD,Completed,auto-invest
sabrina Bowen,ACC-8707-29,d2046df3,401(k), META PLATFORMS ,META,174,10/11/2024,10/15/2024,"$2,912.42",EUR,Completed,watchlist
Wendy GILMORE,ACC-8976-23,365e3f10,Brokerage,"AMAZON.COM, INC.",amzn,356,24-Jun-2025,6/25/2025,$902.3,USD,Completed,auto-invest
DANIELLE Pearson,ACC-0110-33,605473e0,Brokerage,ALPHABET INC.,Googl,705,4/19/2023,20-Apr-2023,2194.17,EUR,Completed,short-term
,ACC-8976-23,21f45880,Brokerage,Apple Inc.,aapl,277,10-Jan-2024,11-Jan-2024,"4,033.51 USD",USD,Completed,auto-invest
Leah Mendez,ACC-9233-51,2ac84111,401(k),"AMAZON.COM, INC.",Amzn,35,5/7/2025,8-May-2025,"$4,732.32",CAD,Completed,
amanda carpenter,ACC-1469-19,230c02e7,Custodial,NVIDIA CORPORATION,Nvda,740,10/26/2022,10/27/2022,"$3,093.04",CAD,Completed,
michael collins,ACC-9950-12,b407769c,401(k),apple inc.,aapl,689,11/18/2024,19-Nov-2024,3939.43,USD,Completed,short-term
dana bradley,ACC-7465-53,d8cba5f7,Brokerage,MICROSOFT CORP,msft,303,31-Jul-2023,1-Aug-2023,N/A,EUR,Completed,
TAMMY Campbell,ACC-1374-21,94a28d12,401(k),MICROSOFT CORP,MSFT,232,22-Oct-2021,10/25/2021,$1234.59,EUR,Completed,
JENNIFER king,ACC-5048-12,955c115c,Roth IRA,johnson & johnson,Jnj,170,24-Jan-2023,,1056.84usd,CAD,Pending,pending
BRITTANY roberts,ACC-0268-85,e07ce7a3,Joint, META PLATFORMS ,meta,153,29-May-2024,5/30/2024,"1,933.22 USD",USD,Completed,watchlist
TERRY newton,ACC-7705-30,01957e65,401(k),META PLATFORMS,META,446,2-Aug-2024,5-Aug-2024,$2333.7,EUR,Completed,short-term
COURTNEY DEAN,,c5c1ada9,Brokerage,Tesla Inc.,TSL,710,2/7/2025,10-Feb-2025,4735.11,EUR,Completed,short-term
John Johnson,ACC-9078-56,f9f02223,Trust, ALPHABET INC. ,googl,114,12/31/2024,1/2/2025,"1,084.07 USD",USD,Completed,
kathryn Mccann,ACC-0455-31,ad7afb1f,Joint,"Amazon.Com, Inc.",AMZN,152,22-Dec-2023,12/26/2023,$4893.8,USD,Completed,short-term
BRENDAN HALE,ACC-1952-06,66eaf662,Trust,johnson & johnson,jnj,984,25-Jan-2022,1/26/2022,757.82 USD,CAD,Completed,
KATHRYN Mccann,ACC-0455-31,96b47c9b,Joint, NVIDIA CORPORATION ,NVDA,909,6-Mar-2024,,$1383.42,USD,Pending,pending
Sharon RUIZ,ACC-6066-04,c9a18a0d,Roth IRA,ALPHABET INC.,googl,N/A,17-Jul-2023,,"3,408.26 USD",EUR,Pending,pending
MARTHA STUART,ACC-8191-06,af7a1694,Custodial, Tesla Inc. ,TSLA,483,29-Jun-2023,30-Jun-2023,N/A,CAD,Completed,watchlist
Ashley Gallegos,ACC-5934-64,3028f3be,401(k),NETFLIX,Nflx,53,22-Aug-2022,,N/A,USD,Pending,pending
MR. John sullivan,ACC-0938-29,0bab202c,Roth IRA,meta platforms,Meta,685,27-Jan-2025,,"$4,945.62",USD,Pending,pending
Thomas DOUGHERTY,ACC-7947-92,ee336a6c,401(k),ALPHABET INC.,googl,851,25-Jul-2024,26-Jul-2024,$1353.77,EUR,Completed,
benjamin CARRILLO,ACC-6858-35,d89cfc06,Brokerage,meta platforms,meta,949,3-Oct-2024,10/4/2024,"$1,450.70",EUR,Completed,watchlist
benjamin wilson,ACC-5940-08,e21885e1,Trust,johnson & johnson,jnj,689,22-Jan-2024,23-Jan-2024,N/A,EUR,Completed,short-term
JAMIE gonzales,ACC-1903-05,d71931bf,Brokerage,"amazon.com, inc.",AMZN,576,19-Jan-2024,22-Jan-2024,160.98,USD,Completed,short-term
Carlos ALEXANDER,ACC-6263-52,65bb6d3e,Roth IRA,netflix,Nflx,393,22-Mar-2023,3/23/2023,N/A,EUR,Completed,short-term
JORGE LANE,ACC-5906-61,c7d89c02,Roth IRA,APPLE INC.,AAPL,273,7/7/2025,8-Jul-2025,2928.33usd,USD,Completed,auto-invest
MARTHA stuart,ACC-8191-06,615be49f,Custodial,Alphabet Inc.,GOOGL,489,2-Jul-2025,,1941.85usd,EUR,Pending,pending
Christopher Esparza,ACC-9384-53,635a1d1e,Trust,NVIDIA CORPORATION,NVDA,ten,9/17/2024,,$581.76,CAD,Pending,pending
JESSICA jones,ACC-7394-49,e6db0f51,Brokerage,apple inc.,AAPL,30,7/18/2025,7/18/2025,1742.82usd,EUR,Completed,dividends reinvested
JEFF MORROW,ACC-0934-49,4115651e,Joint,APPLE INC.,AAPL,289,19-Jan-2023,20-Jan-2023,N/A,EUR,Completed,watchlist
Julie Hernandez,ACC-6546-74,202b9e1e,Joint,Netflix,nflx,12,14-Feb-2025,18-Feb-2025,N/A,EUR,Completed,
mark Dean,ACC-6166-41,bee0412e,Brokerage,Alphabet Inc.,Googl,522,17-Mar-2025,18-Mar-2025,$1348.2,EUR,Completed,auto-invest
samuel NEWTON,ACC-7806-33,64654db4,Roth IRA,APPLE INC.,aapl,ten,18-Jul-2025,18-Jul-2025,$426.8,CAD,Completed,watchlist
Kimberly MARTIN,ACC-4336-74,fbe24837,401(k),META PLATFORMS,meta,79,14-Jul-2023,,$3793.14,EUR,Pending,pending
JAMES Poole,ACC-6303-65,b17dacca,Joint,JOHNSON & JOHNSON,jnj,820,1/2/2024,1/3/2024,"3,149.39 USD",EUR,Completed,
Mrs. MELISSA martinez MD,ACC-9435-86,ab92cd49,Roth IRA,Johnson & Johnson,Jnj,801,3-Apr-2023,4/4/2023,4297.26usd,USD,Completed,auto-invest
GLORIA WILLIAMS,ACC-9041-81,a76ca42b,Brokerage,TESLA INC.,Tsla,N/A,8-Jul-2021,9-Jul-2021,"1,938.37 USD",EUR,Completed,
STEPHANIE Perry,ACC-0606-25,f4a6b620,Brokerage,berkshire hathaway,BRK.,599,7/18/2025,18-Jul-2025,4016.62,EUR,Completed,watchlist
JUAN MADDOX,ACC-5352-08,3e659561,Trust,Tesla Inc.,Tsla,66,2/14/2023,2/15/2023,4118.72,EUR,Completed,
deborah Atkinson,ACC-9187-98,5b32ad0e,Joint,tesla inc.,Tsla,864,8/2/2021,8/3/2021,1160.79,USD,Completed,auto-invest
,ACC-6634-62,37f10077,Brokerage,Microsoft Corp,Msft,543,6-Jul-2022,7-Jul-2022,$295.87,USD,Completed,
joseph Crawford,ACC-1761-45,be49d8d8,Roth IRA,TESLA INC.,tsla,906,6/27/2025,6/30/2025,4924.25usd,USD,Completed,auto-invest
